Central,North,South,East,West,flat_type,storey_range,floor_area_sqm,remaining_lease_decimal,resale_price
1,0,0,0,0,4,1,75,79,738000
1,0,0,0,0,4,1,91,61.08,670000
1,0,0,0,0,4,2,100,82.01,662000
1,0,0,0,0,4,1,74,46.06,458000
1,0,0,0,0,4,1,81,51,485000
1,0,0,0,0,4,1,84,62.06,511000
1,0,0,0,0,4,1,91,57.09,575000
1,0,0,0,0,4,1,90,79.07,735000
1,0,0,0,0,4,1,92,78.08,785000
1,0,0,0,0,4,1,100,81.11,881000
1,0,0,0,0,4,2,100,82.11,900000
1,0,0,0,0,4,1,100,81.09,775000
1,0,0,0,0,4,1,100,82.11,825000
1,0,0,0,0,4,1,92,54.05,500000
1,0,0,0,0,4,1,92,54.05,560000
1,0,0,0,0,4,1,90,79.03,680000
1,0,0,0,0,4,2,90,79.03,715000
1,0,0,0,0,4,1,93,94.11,850000
1,0,0,0,0,4,1,95,89.07,865000
1,0,0,0,0,4,1,93,94.11,935000
1,0,0,0,0,4,2,93,94.11,925000
1,0,0,0,0,4,2,93,94.1,913000
1,0,0,0,0,5,2,112,91.11,1290000
1,0,0,0,0,5,1,117,52.09,680000
1,0,0,0,0,5,1,135,72.11,815000
1,0,0,0,0,5,1,132,72.09,835000
1,0,0,0,0,5,2,115,81.1,1003800
1,0,0,0,0,5,1,121,75.09,808000
1,0,0,0,0,5,2,125,52.1,808000
1,0,0,0,0,5,2,118,53.11,900000
1,0,0,0,0,5,2,110,79.01,925000
1,0,0,0,0,4,1,91,50.02,607888
1,0,0,0,0,4,1,104,64.09,755000
1,0,0,0,0,2,1,53,47.05,300000
1,0,0,0,0,3,1,58,50,400000
1,0,0,0,0,3,1,56,50,388000
1,0,0,0,0,3,1,70,53.02,555000
1,0,0,0,0,3,2,59,53.01,510000
1,0,0,0,0,3,2,59,53,458000
1,0,0,0,0,3,1,60,56.06,541000
1,0,0,0,0,3,1,60,56.08,528000
1,0,0,0,0,3,1,60,62.08,438000
1,0,0,0,0,3,1,60,54.05,530000
1,0,0,0,0,4,1,82,58.04,500000
1,0,0,0,0,4,2,82,58.03,550000
1,0,0,0,0,4,2,94,87,1290000
1,0,0,0,0,4,2,93,86.11,1032000
1,0,0,0,0,4,2,108,59.09,728000
1,0,0,0,0,4,1,112,49.11,788000
1,0,0,0,0,4,1,82,54.08,640888
1,0,0,0,0,5,2,105,87,1340000
1,0,0,0,0,2,1,46,49.06,265000
1,0,0,0,0,2,1,46,49.05,270000
1,0,0,0,0,2,1,40,47.01,238000
1,0,0,0,0,3,1,65,51.08,385000
1,0,0,0,0,3,1,67,54,335000
1,0,0,0,0,3,1,67,53.11,375000
1,0,0,0,0,3,1,67,49.07,315000
1,0,0,0,0,3,1,68,57.05,445000
1,0,0,0,0,3,1,60,46.01,310000
1,0,0,0,0,3,1,52,47.01,273000
1,0,0,0,0,3,1,67,92.1,612000
1,0,0,0,0,3,1,52,47,290000
1,0,0,0,0,3,1,56,45,285000
1,0,0,0,0,3,1,52,47,300000
1,0,0,0,0,3,1,60,83,552000
1,0,0,0,0,3,1,59,53.03,316888
1,0,0,0,0,3,1,66,57.02,338000
1,0,0,0,0,3,1,66,57.02,335000
1,0,0,0,0,3,1,68,92.11,590000
1,0,0,0,0,3,1,65,53.03,334888
1,0,0,0,0,3,1,64,76.05,383000
1,0,0,0,0,3,1,64,61.09,368000
1,0,0,0,0,4,2,106,73.05,705000
1,0,0,0,0,4,1,103,74.04,755000
1,0,0,0,0,4,1,93,57.05,600000
1,0,0,0,0,4,1,93,92.09,785000
1,0,0,0,0,4,1,108,60.01,686000
1,0,0,0,0,4,1,91,58.04,589000
1,0,0,0,0,4,1,91,58.03,595000
1,0,0,0,0,4,1,93,87.11,710000
1,0,0,0,0,4,1,95,76.05,660000
1,0,0,0,0,4,1,83,61.07,572000
1,0,0,0,0,4,1,88,51.07,465000
1,0,0,0,0,4,1,107,66.02,615000
1,0,0,0,0,4,1,84,61.07,460000
1,0,0,0,0,4,1,105,61.05,498000
